antibody_name,evidence_tier,source_type,source_id,stored_ada,stored_pct,verify_status,source_pct,delta,extracted_pcts,note,source_snippet
Atoltivimab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0536b6fe-6fe5-4fd6-8cc6-1b481945c1fa,0% (not detected),0.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Bamlanivimab,A,PMID,33528553.0,2.1%,2.1,VERIFIED,2.2,0.1,"[0.3, 0.4, 1.7, 2.2, 14.1, 15.7, 30.3, 36.4]",,1. JAMA Netw Open. 2021 Feb 1;4(2):e2036148. doi:  10.1001/jamanetworkopen.2020.36148.  Assessment of Incidence and Factors Associated With Severe Maternal Morbidity  After Delivery Discharge Among Wo
Belimumab,B,URL,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,"4.8% (1 mg/kg dose), 0.7% (10 mg/kg dose, potentially underestimated)",4.8,UNREACHABLE,,,[],URL unreachable: https://www.medcentral.com/drugs/monograph/155457-311017/bel,
Bimagrumab,A,PMID,40580805.0,4.0%,4.0,VERIFIED,5.0,1.0,"[5.0, 35.0, 40.0]",,1. Clin Nutr. 2025 Aug;51:187-197. doi: 10.1016/j.clnu.2025.06.007. Epub 2025 Jun  11.  Therapeutic advances in sarcopenia management: From traditional interventions to  personalized medicine.  Liu X(
Clesrovimab,B,FDA_PI,https://api.fda.gov/drug/label.json,22.6%,22.6,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Crovalimab,A,PMID,34276736.0,10-15%,15.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Front Plant Sci. 2021 Jul 1;12:685334. doi: 10.3389/fpls.2021.685334.  eCollection 2021.  Structural Modeling and in planta Complementation Studies Link Mutated Residues  of the Medicago truncatula
Daratumumab,B,URL,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,0% (no ADA detected in two monotherapy trials),0.0,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/science/article/abs/pii/S00937,
Dupilumab,B,URL,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf,7.61% ADA incidence in dupilumab studies; Neutralizing antibodies: 0.00% to 10.7,7.61,UNREACHABLE,,,[],URL unreachable: https://www.jaci-inpractice.org/article/S2213-2198(23)00087-,
Ebronucimab,B,URL,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,12.5% ADA incidence (3/24 subjects) in healthy volunteer phase I study,12.5,UNREACHABLE,,,[],URL unreachable: https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.931,
Emapalumab,A,PMID,30352551.0,10%,10.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. BMC Plant Biol. 2018 Oct 23;18(1):255. doi: 10.1186/s12870-018-1459-2.  Identification and characterization of NF-Y gene family in walnut (Juglans regia  L.).  Quan S(1)(2), Niu J(3)(4), Zhou L(1)("
Enuzovimab,A,PMID,39793935.0,1.50%,1.5,DISCREPANCY,50.0,48.5,"[50.0, 64.0]","Source has [50.0, 64.0], stored=1.5%","1. Int J Antimicrob Agents. 2025 Mar;65(3):107439. doi:  10.1016/j.ijantimicag.2024.107439. Epub 2025 Jan 9.  Population pharmacokinetics and pharmacodynamics of HFB30132A, a monoclonal  antibody agai"
Evinacumab,A,PMID,33446410.0,2%,2.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. J Am Coll Cardiol. 2021 Feb 16;77(6):772-810. doi: 10.1016/j.jacc.2020.11.022.  Epub 2021 Jan 11.  2021 Update to the 2017 ACC Expert Consensus Decision Pathway for Optimization  of Heart Failure T
Evolocumab,B,URL,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,0.1% (7/4846 subjects),0.1,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/topics/medicine-and-dentistry/,
Fulranumab,A,PMID,24590506.0,6.0%,6.0,DISCREPANCY,60.0,54.0,[60.0],"Source has [60.0], stored=6.0%",1. AAPS J. 2014 May;16(3):464-77. doi: 10.1208/s12248-014-9581-z. Epub 2014 Mar 5.  Development of a method that eliminates false-positive results due to nerve  growth factor interference in the asses
Garadacimab,A,PMID,33446255.0,<2%,2.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Allergy Asthma Clin Immunol. 2021 Jan 14;17(1):9. doi:  10.1186/s13223-021-00510-z.  Exome sequencing enables diagnosis of X-linked hypohidrotic ectodermal dysplasia  in patient with eosinophilic e
Nivolumab,B,URL,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Che,"23.8-37.8% (combination therapy), 8.5% (monotherapy)",37.8,UNREACHABLE,,,[],URL unreachable: https://aacrjournals.org/clincancerres/article/26/4/787/8308,
Olaratumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf,3.5% (13/370 evaluable patients),3.5,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Pemivibart,A,PMID,30265425.0,10-15%,15.0,DISCREPANCY,57.0,42.0,"[57.0, 73.0, 86.0, 91.0, 98.0]","Source has [57.0, 73.0, 86.0, 91.0], stored=15.0%","1. Am J Addict. 2018 Dec;27(8):612-617. doi: 10.1111/ajad.12805. Epub 2018 Sep 28.  Expanding access to buprenorphine treatment in rural areas with the use of  telemedicine.  Weintraub E(1), Greenblat"
Ramucirumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,3% (86/2890 patients),3.0,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/166215-3,
Regdanvimab,A,PMID,34183044.0,10%,10.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Orphanet J Rare Dis. 2021 Jun 28;16(1):288. doi: 10.1186/s13023-021-01904-3.  Gene expression analysis in EBV-infected ataxia-telangiectasia cell lines by  RNA-sequencing reveals protein synthesis 
Relatlimab,B,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b22c9d83-3256-4e17-85f7-f331a504adc6,<2%,2.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Secukinumab,B,URL,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,"<1% ADA incidence at week 52, 0.4% treatment-emergent ADAs over 3 years",1.0,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/topics/pharmacology-toxicology,
Sintilimab,A,PMID,30621725.0,<2%,2.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Diagn Pathol. 2019 Jan 8;14(1):1. doi: 10.1186/s13000-018-0775-z.  Gastroesophageal junction Paneth cell carcinoma with extensive cystic and  secretory features - case report and literature review.
Tafolecimab,A,PMID,35326524.0,10-15%,15.0,DISCREPANCY,10.0,5.0,"[10.0, 30.0]","Source has [10.0, 30.0], stored=15.0%","1. Cancers (Basel). 2022 Mar 8;14(6):1373. doi: 10.3390/cancers14061373.  The Role of Endoscopic Ultrasonography in the Diagnosis and Staging of  Pancreatic Cancer.  Zakaria A(1), Al-Share B(2), Klapm"
Tezepelumab,B,URL,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,"4.9% ADA positive in tezepelumab group (vs 8.3% placebo), 5% in FDA data (29/601",4.9,UNREACHABLE,,,[],URL unreachable: https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,
Tremelimumab,B,URL,https://www.onclive.com/view/anti-drug-antibodies-do-not-affect-durvalumab-alone-with-tremelimumab-i,"1.8‑16.7% ADA incidence range; specific studies: 11% (HIMALAYA), 14% (POSEIDON),",16.7,UNREACHABLE,,,[],URL unreachable: https://www.onclive.com/view/anti-drug-antibodies-do-not-aff,
Axatilimab,B,FDA_PI,https://api.fda.gov/drug/label.json,16.3%,16.3,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Belantamab,A,PMID,31711027.0,17%,17.0,DISCREPANCY,21.6,4.6,"[21.6, 81.2]","Source has [21.6, 81.2], stored=17.0%",1. Waste Manag. 2020 Feb 1;102:330-339. doi: 10.1016/j.wasman.2019.10.058. Epub  2019 Nov 8.  Rapid single-step synthesis of porous carbon from an agricultural waste for  energy storage application.  
Budigalimab,A,PMID,41054153.0,1.80%,1.8,DISCREPANCY,27.62,25.82,"[27.62, 59.89, 95.0]","Source has [27.62, 59.89, 95.0], stored=1.8%",1. Medicine (Baltimore). 2025 Oct 3;104(40):e44700. doi:  10.1097/MD.0000000000044700.  Global safety profile of PD-1/PD-L1 inhibitors in hepatic autoimmune disorders:  A global disproportionality ana
Crizanlizumab,B,URL,https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,0% ADA in main trial (no detectable antibody response); 1.6% (1/61) in healthy s,0.0,UNREACHABLE,,,[],URL unreachable: https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,
Depemokimab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30332b20-2ac0-42ad-a775-d3ca7f5fe29f,10%,10.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Domvanalimab,A,PMID,40592848.0,17.2%,17.2,VERIFIED,17.2,0.0,"[5.8, 17.2, 35.8, 55.2, 95.0]",,1. Nat Commun. 2025 Jul 1;16(1):5819. doi: 10.1038/s41467-025-60757-7.  Dual TIGIT and PD-1 blockade with domvanalimab plus zimberelimab in  hepatocellular carcinoma refractory to anti-PD-1 therapies:
Eculizumab,B,URL,https://www.drugs.com/monograph/eculizumab.html,<2% detection rate (clinical trials),2.0,UNREACHABLE,,,[],URL unreachable: https://www.drugs.com/monograph/eculizumab.html,
Elezanumab,A,PMID,38191982.0,2.0%,2.0,DISCREPANCY,20.0,18.0,[20.0],"Source has [20.0], stored=2.0%","1. Clin Pharmacol Drug Dev. 2024 Feb;13(2):180-189. doi: 10.1002/cpdd.1341. Epub  2024 Jan 8.  Comparability of Elezanumab Safety, Tolerability, and Pharmacokinetics in  Healthy Japanese, Chinese, and"
Elotuzumab,B,URL,https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,"15% (NEJM), 18.5% (Springer), ~15-40% depending on regimen",15.0,UNREACHABLE,,,[],URL unreachable: https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,
Etaracizumab,A,PMID,17390341.0,5.0%,5.0,DISCREPANCY,30.0,25.0,"[30.0, 35.0, 50.0]","Source has [30.0, 35.0, 50.0], stored=5.0%","1. J Cell Biochem. 2007 Oct 1;102(2):341-52. doi: 10.1002/jcb.21296.  Effects of Vitaxin, a novel therapeutic in trial for metastatic bone tumors, on  osteoclast functions in vitro.  Gramoun A(1), Sho"
Exidavnemab,A,PMID,39105497.0,7.00%,7.0,DISCREPANCY,0.2,6.8,"[0.2, 71.0]","Source has [0.2, 71.0], stored=7.0%","1. J Clin Pharmacol. 2024 Nov;64(11):1432-1442. doi: 10.1002/jcph.6103. Epub 2024  Aug 6.  Safety, Tolerability, and Pharmacokinetics of Single Doses of Exidavnemab  (BAN0805), an Anti-α-Synuclein Ant"
Favezelimab,A,PMID,40668662.0,42.9%,42.9,DISCREPANCY,48.0,5.1,"[0.4, 2.0, 5.0, 37.0, 48.0, 49.0, 50.0, 95.0]","Source has [0.4, 2.0, 5.0, 37.0], stored=42.9%",1. Blood Adv. 2025 Oct 14;9(19):4987-4995. doi: 10.1182/bloodadvances.2024014654.  Estimating efficacy of favezelimab plus pembrolizumab relative to pembrolizumab  in anti-PD-1-refractory Hodgkin lymp
Gemtuzumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287284/,"1.1% (2/182 patients), 5% (2/40 phase 1), 0% (0/142 phase 2)",1.1,VERIFIED,1.1,0.0,"[0.0, 1.0, 1.1, 1.6, 1.9, 2.0, 2.5, 2.6]",,
Ibalizumab,A,PMID,29854862.0,<2%,2.0,VERIFIED,1.42,0.58,"[0.0, 1.0, 1.42, 2.8, 6.25]",,"1. Orthop J Sports Med. 2018 May 25;6(5):2325967118774302. doi:  10.1177/2325967118774302. eCollection 2018 May.  Infection and Rerupture After Surgical Repair of Achilles Tendons.  Jildeh TR(1), Okor"
Inebilizumab,A,PMID,32251791.0,10-15%,15.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. Int J Infect Dis. 2020 May;94:55-58. doi: 10.1016/j.ijid.2020.03.062. Epub 2020  Apr 3.  A first case of meningitis/encephalitis associated with SARS-Coronavirus-2.  Moriguchi T(1), Harii N(2), Got"
Lebrikizumab,A,PMID,27372567.0,5.2%,5.2,DISCREPANCY,25.0,19.8,"[25.0, 75.0, 95.0]","Source has [25.0, 75.0, 95.0], stored=5.2%","1. J Allergy Clin Immunol. 2017 Jan;139(1):122-129.e1. doi:  10.1016/j.jaci.2016.05.008. Epub 2016 May 24.  Traffic-related air pollution exposure is associated with allergic  sensitization, asthma, a"
Leronlimab,A,PMID,32203083.0,10-15%,15.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. Acta Pharmacol Sin. 2020 Aug;41(8):1033-1040. doi: 10.1038/s41401-020-0384-8.  Epub 2020 Mar 18.  FSHR ablation induces depression-like behaviors.  Bi WK(1)(2)(3)(4), Shao SS(1)(2)(3)(4), Li ZW(5),"
Levilimab,A,PMID,33388064.0,<2%,2.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Health Qual Life Outcomes. 2021 Jan 2;19(1):1. doi: 10.1186/s12955-020-01607-6.  Validity and reliability of the Self-Care Activities Screening Scale (SASS-14)  during COVID-19 lockdown.  Martínez 
Mirikizumab,A,PMID,32387475.0,5.6%,5.6,UNCERTAIN,,,[],ADA % not found in abstract text,1. Antiviral Res. 2020 Jul;179:104817. doi: 10.1016/j.antiviral.2020.104817. Epub  2020 May 6.  Imiquimod suppresses respiratory syncytial virus (RSV) replication via PKA  pathway and reduces RSV indu
Mogamulizumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,3.9% (10/258 patients),3.9,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/175821-3,
Nemolizumab,A,PMID,30289238.0,5.6%,5.6,DISCREPANCY,79.6,74.0,"[79.6, 87.6]","Source has [79.6, 87.6], stored=5.6%",1. ACS Appl Mater Interfaces. 2018 Nov 7;10(44):38084-38092. doi:  10.1021/acsami.8b13570. Epub 2018 Oct 19.  Ultraviolet Irradiation Treatment for Enhanced Sodium Storage Performance Based  on Wide-I
Nimotuzumab,A,PMID,22576171.0,10-15%,15.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. Bioinformatics. 2012 Jul 15;28(14):1941-2. doi: 10.1093/bioinformatics/bts279.  Epub 2012 May 9.  The Hematopoietic Expression Viewer: expanding mobile apps as a scientific tool.  James RA(1), Rao "
Obinutuzumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,approximately 13%,13.0,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/165353-3,
Ocrelizumab,B,URL,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,approximately 1% (12/1311 patients),1.0,UNREACHABLE,,,[],URL unreachable: https://www.medcentral.com/drugs/monograph/173459-317024/ocr,
Olokizumab,B,PMID,36109142.0,10-15%,15.0,DISCREPANCY,20.0,5.0,"[3.2, 7.0, 20.0, 40.6, 59.6, 60.9]","Source has [3.2, 7.0, 20.0, 40.6], stored=15.0%","1. Ann Rheum Dis. 2022 Dec;81(12):1661-1668. doi: 10.1136/ard-2022-222630. Epub  2022 Sep 15.  Olokizumab, a monoclonal antibody against interleukin-6, in combination with  methotrexate in patients wi"
Palivizumab,B,URL,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,"0.7% (Synagis group), 1.1% (placebo group)",0.7,UNREACHABLE,,,[],URL unreachable: https://www.medcentral.com/drugs/monograph/16441-398034/pali,
Penpulimab,A,PMID,33524450.0,10-15%,15.0,DISCREPANCY,92.0,77.0,[92.0],"Source has [92.0], stored=15.0%","1. Am J Infect Control. 2021 Apr;49(4):416-423. doi: 10.1016/j.ajic.2021.01.017.  Epub 2021 Jan 29.  New technique to evaluate decontamination methods for filtering facepiece  respirators.  Vo E(1), R"
Pertuzumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,3% (13/389 patients in CLEOPATRA study),3.0,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/161165-3,
Polatuzumab,A,PMID,31201130.0,<1%,1.0,VERIFIED,0.0,1.0,"[0.0, 2.0, 3.0, 7.0, 9.0, 95.0]",,"1. Lancet Glob Health. 2019 Aug;7(8):e1065-e1073. doi:  10.1016/S2214-109X(19)30250-5. Epub 2019 Jun 11.  Burden of dengue infection in India, 2017: a cross-sectional population based  serosurvey.  Mu"
Recaticimab,A,PMID,32767679.0,<1%,1.0,VERIFIED,0.8,0.2,"[0.23, 0.8, 2.3]",,"1. Clin Exp Dermatol. 2021 Jan;46(1):122-129. doi: 10.1111/ced.14412. Epub 2020 Sep  14.  A phase I, randomized, double-blind study to assess the safety, tolerability and  efficacy of the topical RORC"
Rozanolixizumab,A,PMID,37656420.0,37%,37.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. Drugs. 2023 Sep;83(14):1341-1347. doi: 10.1007/s40265-023-01933-1.  Rozanolixizumab: First Approval.  Hoy SM(1).  Author information: (1)Springer Nature, Private Bag 65901, Mairangi Bay, Auckland, "
Satralizumab,B,URL,https://www.ema.europa.eu/en/documents/product-information/enspryng-epar-product-information_en.pdf,"41% in combination therapy study, 71% in monotherapy study (EMA data)",41.0,URL_LIVE,,,"[0.0, 1.0, 1.7, 2.0, 3.0, 4.0, 5.0, 6.0]",URL live; ADA % not extracted from page,
Spesolimab,A,PMID,31806488.0,10-15%,15.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. Lancet Public Health. 2020 Jan;5(1):e4-e5. doi: 10.1016/S2468-2667(19)30225-7.  Epub 2019 Dec 2.  Traumatic brain injury and homelessness: from prevalence to prevention.  Young JT(1), Hughes N(2). "
Sutimlimab,A,PMID,33462941.0,10%,10.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Hepatol Res. 2021 Apr;51(4):436-444. doi: 10.1111/hepr.13617. Epub 2021 Feb 25.  Severity of liver fibrosis using shear wave elastography is influenced by  hepatic necroinflammation in chronic hepa
Tafasitamab,A,PMID,32333849.0,10%,10.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. Ann Thorac Surg. 2020 Nov;110(5):e405-e407. doi:  10.1016/j.athoracsur.2020.04.008. Epub 2020 Apr 22.  Acute Type A Aortic Dissection During the COVID-19 Outbreak.  Fukuhara S(1), Rosati CM(2), El-"
Tagitanlimab,A,PMID,33837950.0,<1%,1.0,DISCREPANCY,19.0,18.0,"[19.0, 50.0]","Source has [19.0, 50.0], stored=1.0%",1. J Robot Surg. 2022 Apr;16(2):295-300. doi: 10.1007/s11701-021-01236-1. Epub 2021  Apr 10.  Single-port robotic-assisted simple prostatectomy is associated with decreased  post-operative narcotic us
Timigutuzumab,A,PMID,34540688.0,10-15%,15.0,DISCREPANCY,18.9,3.9,"[11.1, 18.9, 27.9, 50.0, 59.4, 87.5]","Source has [11.1, 18.9, 27.9, 50.0], stored=15.0%",1. Front Oncol. 2021 Sep 2;11:718146. doi: 10.3389/fonc.2021.718146. eCollection  2021.  Virtual Surgical Planning of Deep Circumflex Iliac Artery Flap for Midface  Reconstruction.  Kang YF(1)(2)(3)(4
Vunakizumab,A,PMID,31138300.0,10-15%,15.0,DISCREPANCY,95.0,80.0,[95.0],"Source has [95.0], stored=15.0%",1. Int J Health Geogr. 2019 May 28;18(1):12. doi: 10.1186/s12942-019-0176-x.  Methodological approaches to the study of cancer risk in the vicinity of  pollution sources: the experience of a populatio
Nipocalimab,A,URL,FDA prescribing information,48%,48.0,UNREACHABLE,,,[],URL unreachable: FDA prescribing information,
Epcoritamab,A,URL,FDA prescribing information,2.6%,2.6,UNREACHABLE,,,[],URL unreachable: FDA prescribing information,
Elranatamab,A,URL,FDA prescribing information (Pfizer),9.5%,9.5,UNREACHABLE,,,[],URL unreachable: FDA prescribing information (Pfizer),
